No,Title,Authors,Year,Venue,Category,DOI,URL,Symplectic_IDs
39,Argumentative Interpretable Image Classification,"Hamed Ayoobi, Nico Potyka, Francesca Toni",2024,"Proceedings of the 2nd International Workshop on Argumentation for          eXplainable AI co-located with the 10th International Conference          on Computational Models of Argument (COMMA 2024), Hagen, Germany,          September 16, 2024",conference,,https://ceur-ws.org/Vol-3768/paper4.pdf,1409160
40,Argumentative Large Language Models for Explainable and Contestable          Decision-Making,"Gabriel Freedman, Adam Dejl, Deniz Gorur, Xiang Yin, Antonio Rago, Francesca Toni",2024,CoRR,preprint,10.48550/ARXIV.2405.02079,https://doi.org/10.48550/arXiv.2405.02079,1380396
41,CE-QArg: Counterfactual Explanations for Quantitative Bipolar Argumentation          Frameworks,"Xiang Yin, Nico Potyka, Francesca Toni",2024,"Proceedings of the 21st International Conference on Principles of          Knowledge Representation and Reasoning, KR 2024, Hanoi, Vietnam.          November 2-8, 2024",conference,10.24963/KR.2024/66,https://doi.org/10.24963/kr.2024/66,1398800
42,Contestable AI Needs Computational Argumentation,"Francesco Leofante, Hamed Ayoobi, Adam Dejl, Gabriel Freedman, Deniz Gorur, Junqi Jiang, Guilherme Paulino-Passos, Antonio Rago, Anna Rapberger, Fabrizio Russo, Xiang Yin, Dekai Zhang, Francesca Toni",2024,"Proceedings of the 21st International Conference on Principles of          Knowledge Representation and Reasoning, KR 2024, Hanoi, Vietnam.          November 2-8, 2024",conference,10.24963/KR.2024/83,https://doi.org/10.24963/kr.2024/83,1387379
43,Contribution functions for quantitative bipolar argumentation graphs:          A principle-based analysis,"Timotheus Kampik, Nico Potyka, Xiang Yin, Kristijonas Cyras, Francesca Toni",2024,Int. J. Approx. Reason.,journal,10.1016/J.IJAR.2024.109255,https://doi.org/10.1016/j.ijar.2024.109255,1362514
44,Detecting Scientific Fraud Using Argument Mining,"Gabriel Freedman, Francesca Toni",2024,"Proceedings of the 11th Workshop on Argument Mining, ArgMining 2024,          Bangkok, Thailand, August 15, 2024",conference,,https://aclanthology.org/2024.argmining-1.2,1399417
45,Dialectical Reconciliation via Structured Argumentative Dialogues,"Stylianos Loukas Vasileiou, Ashwin Kumar, William Yeoh, Tran Cao Son, Francesca Toni",2024,"Proceedings of the 21st International Conference on Principles of          Knowledge Representation and Reasoning, KR 2024, Hanoi, Vietnam.          November 2-8, 2024",conference,10.24963/KR.2024/73,https://doi.org/10.24963/kr.2024/73,1401696
46,Explaining Arguments' Strength: Unveiling the Role of Attacks and          Supports,"Xiang Yin, Nico Potyka, Francesca Toni",2024,"Proceedings of the Thirty-Third International Joint Conference on          Artificial Intelligence, IJCAI 2024, Jeju, South Korea, August 3-9,          2024",conference,,https://www.ijcai.org/proceedings/2024/401,1620482
47,Explaining Arguments' Strength: Unveiling the Role of Attacks and          Supports (Technical Report),"Xiang Yin, Nico Potyka, Francesca Toni",2024,CoRR,preprint,10.48550/ARXIV.2404.14304,https://doi.org/10.48550/arXiv.2404.14304,1383153
48,Explaining Image Classifiers with Visual Debates,"Avinash Kori, Ben Glocker, Francesca Toni",2024,"Discovery Science - 27th International Conference, DS 2024, Pisa,          Italy, October 14-16, 2024, Proceedings, Part II",conference,10.1007/978-3-031-78980-9_13,https://doi.org/10.1007/978-3-031-78980-9_13,1349894
49,Instantiations and Computational Aspects of Non-Flat Assumption-based          Argumentation,"Tuomo Lehtonen, Anna Rapberger, Francesca Toni, Markus Ulbricht, Johannes P. Wallner",2024,"Proceedings of the Thirty-Third International Joint Conference on          Artificial Intelligence, IJCAI 2024, Jeju, South Korea, August 3-9,          2024",conference,,https://www.ijcai.org/proceedings/2024/383,1383154
50,Integrating User Preferences into Gradual Bipolar Argumentation for          Personalised Decision Support,"Elisa Battaglia, Pietro Baroni, Antonio Rago, Francesca Toni",2024,"Scalable Uncertainty Management - 16th International Conference, SUM          2024, Palermo, Italy, November 27-29, 2024, Proceedings",conference,10.1007/978-3-031-76235-2_2,https://doi.org/10.1007/978-3-031-76235-2_2,1405928
51,Interval abstractions for robust counterfactual explanations,"Junqi Jiang, Francesco Leofante, Antonio Rago, Francesca Toni",2024,Artif. Intell.,journal,10.1016/J.ARTINT.2024.104218,https://doi.org/10.1016/j.artint.2024.104218,1383152
52,Learning Brave Assumption-Based Argumentation Frameworks via ASP,"Emanuele De Angelis, Maurizio Proietti, Francesca Toni",2024,"ECAI 2024 - 27th European Conference on Artificial Intelligence,          19-24 October 2024, Santiago de Compostela, Spain - Including 13th          Conference on Prestigious Applications of Intelligent Systems (PAIS          2024)",conference,10.3233/FAIA240896,https://doi.org/10.3233/FAIA240896,1401697
53,Non-flat ABA Is an Instance of Bipolar Argumentation,"Markus Ulbricht, Nico Potyka, Anna Rapberger, Francesca Toni",2024,"Thirty-Eighth AAAI Conference on Artificial Intelligence, AAAI          2024, Thirty-Sixth Conference on Innovative Applications of Artificial          Intelligence, IAAI 2024, Fourteenth Symposium on Educational Advances          in Artificial Intelligence, EAAI 2014, February 20-27, 2024, Vancouver,          Canada",conference,10.1609/AAAI.V38I9.28944,https://doi.org/10.1609/aaai.v38i9.28944,1351580
54,On Computing Admissibility in ABA,"Tuomo Lehtonen, Anna Rapberger, Francesca Toni, Markus Ulbricht, Johannes P. Wallner",2024,"Computational Models of Argument - Proceedings of COMMA 2024, Hagen,          Germany, September 18-20, 2024",conference,10.3233/FAIA240315,https://doi.org/10.3233/FAIA240315,1400685
55,On the Correspondence of Non-flat Assumption-based Argumentation and          Logic Programming with Negation as Failure in the Head,"Anna Rapberger, Markus Ulbricht, Francesca Toni",2024,"Proceedings of the 22nd International Workshop on Nonmonotonic Reasoning          (NMR 2024) co-located with 21st International Conference on Principles          of Knowledge Representation and Reasoning (KR 2024), Hanoi, Vietnam,          November 2-4, 2024",conference,,https://ceur-ws.org/Vol-3835/paper12.pdf,1387376
56,On the Robustness of Argumentative Explanations,"Anna Rapberger, Francesca Toni",2024,"Computational Models of Argument - Proceedings of COMMA 2024, Hagen,          Germany, September 18-20, 2024",conference,10.3233/FAIA240323,https://doi.org/10.3233/FAIA240323,1400684
57,PeerArg: Argumentative Peer Review with LLMs,"Purin Sukpanichnant, Anna Rapberger, Francesca Toni",2024,CoRR,preprint,10.48550/ARXIV.2409.16813,https://doi.org/10.48550/arXiv.2409.16813,1405191
